Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єременко,Трохим,Дмитрович,чоловіча,1998-11-05,Краєзнавець,село Тячів,"вулиця Чернишевського, буд. 7, Судак , 07099",059 037 65 81,havrylo97@example.com
Кириленко,Володимир,Дмитрович,чоловіча,1982-08-26,Ювелір,селище Заводське,"площа Високий, буд. 31 кв. 42, Олешки, 13316",+380 62 943 93 08,mariana86@example.org
Ґжицька,Еріка,Юріївна,жіноча,2003-04-18,Електрик,хутір Глухів,"проспект Академічний, буд. 58, Пологи , 16509",+380 86 077-10-32,kopytkobohodar@example.com
Охріменко,Олександр,Миколайович,чоловіча,1981-03-14,Хімік,місто Болехів,"проспект Рівності 2-й, буд. 0 кв. 5, Славута, 80190",+380 95 498-41-64,baranetsolena@example.net
Товстоліс,Франц,Олександрович,чоловіча,1983-08-29,Електромонтер,місто Гребінка,"провулок Кавказький, буд. 3, Сулимівка (Слов'янськ), 29549",+380 91 134-25-98,izhakevychvladyslav@example.net
Безбородько,Дмитро,Васильович,чоловіча,1969-12-27,Промисловець,селище Хмельницький,"парк Академіка Панкратової, буд. 75, Кролевець, 19248",+380 30 207 62 13,cderehus@example.net
Єфименко,Ярослав,Леонідович,чоловіча,1983-04-15,Дизайнер,селище Кам'янка (Черкаська область),"набережна Акордна, буд. 929 кв. 788, Попасна, 78425",+380 06 180-27-00,charnyshpylyp@example.org
Василечко,Любов,Іванівна,жіноча,1992-10-22,Живописець,селище Рава-Руська,"площа Крушельницької, буд. 61 кв. 708, Генічеськ, 45449",+380 (39) 649-23-47,sviatoslavkhomenko@example.com
Орлик,Надія,Олександрівна,жіноча,1974-09-14,Дизайнер,селище Бахмач,"набережна Капітана Гаврікова, буд. 8, Вишневе , 19361",+380 42 804-07-76,albert39@example.net
Дубас,Еріка,Павлівна,жіноча,1998-09-08,Редактор,місто Канів,"проспект Дукова, буд. 0 кв. 3, Дубно, 93884",+380 (35) 764-58-08,orynakovalenko@example.org
Кириленко,Віктор,Ігоревич,чоловіча,1966-09-02,Клавішник,селище Монастириська,"набережна 3-тя Лінія Марії Демченко, буд. 137 кв. 860, Олександрівськ, 32656",056 850-15-96,semendevdiuk@example.net
Носаченко,Панас,Олегович,чоловіча,1971-07-16,Детектив,хутір Бучач,"парк Одеська, буд. 607, Сарни, 29216",002 798 22 43,ilienkoavhustyn@example.com
Затовканюк,Леон,Леонідович,чоловіча,1954-04-25,Дипломат,село Ходорів,"набережна Кузнечна, буд. 3 кв. 6, Таврійськ, 54935",+380 00 886 09 99,bohdanna20@example.org
Михалюк,Макар,Федорович,чоловіча,1999-07-04,Ветеринар,село Тернівка ,"шосе Басейний 3-й, буд. 97, Костянтинівка, 58053",+380 31 857-63-63,lukiankalenychenko@example.com
Вишняк,Іван,Вікторович,чоловіча,1999-07-22,Єгер,селище Чортків,"сквер Льва Толстого, буд. 99 кв. 862, Коростень, 37708",054 353 24 57,demydatroshchenko@example.net
Вовк,Прохір,Юрійович,чоловіча,1982-06-22,Льотчик,селище Новоселиця,"площа Тракторна, буд. 8 кв. 18, Карлівка, 44205",897 03 87,mykolai34@example.org
Макогон,Віталій,Ігоревич,чоловіча,2008-01-30,Реставратор,селище Алупка,"площа Єліна, буд. 98 кв. 046, Миколаїв, 27288",093 540-29-68,rubanostap@example.org
Рябовіл,Мартин,Артемович,чоловіча,1996-11-09,Складальник,селище Нетішин,"сквер Селищний, буд. 3, Бахмач, 80755",021 390 82 00,baranemiliia@example.com
Асаула,Ірина,Андріївна,жіноча,1945-02-18,Графік,місто Белз,"узвіз Пересипська 4-та, буд. 98 кв. 51, Бучач, 28987",+380 (82) 456-93-95,eduardhaidabura@example.org
Червоненко,Едита,Олександрівна,жіноча,1993-05-14,Соціолог,село Знам'янка,"провулок Молокова, буд. 52 кв. 367, Полонне, 03577",281 15 06,mykhailo07@example.org
Заїка,Аарон,Вікторович,чоловіча,1980-04-21,Електрослюсар,село Сіверськ,"парк Тінистий, буд. 1 кв. 796, Світлодарськ, 84149",032 603 89 44,qdakhno@example.org
Акименко,Демид,Олегович,чоловіча,2001-09-07,Електрик,село Біла Церква,"узвіз Львівська, буд. 149, Молочанськ, 22881",513 29 03,liliia28@example.org
Шинкаренко,Дарина,Михайлівна,жіноча,1959-03-10,Стиліст,хутір Новий Розділ,"шосе Український 3-й, буд. 685 кв. 58, Сарни, 71963",+380 26 560 67 20,viktoriiaivanchenko@example.net
Андрейко,Болеслав,Ігоревич,чоловіча,2003-01-17,Кіноактор,селище Хрустальний,"сквер Шишкіна 3-й, буд. 6 кв. 24, Полонне, 79930",827 28 88,sviatoslava91@example.net
Балабан,Іван,Юрійович,чоловіча,1942-01-23,Бухгалтер,село Сарни,"узвіз Чубаївська, буд. 43, Рогатин, 67443",+380 (82) 787-15-30,dmytrozakharchenko@example.net
Лазаренко,Трохим,Юрійович,чоловіча,1945-03-12,Літературознавець,село Городенка,"парк 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 944 кв. 259, Теплодар, 24778",803 27 01,vsliusar@example.org
Піддубний,Пармен,Романович,чоловіча,1998-07-08,Електрослюсар,хутір Чорноморськ,"вулиця Гладкова, буд. 8 кв. 44, Ірпінь, 97489",071 161 34 87,pabramenko@example.com
Рубець,Еріка,Василівна,жіноча,1964-12-07,Музикант,хутір Буринь,"узвіз Левітана, буд. 67 кв. 09, Броди, 06399",+380 80 471-17-51,xdubenko@example.org
Вдовенко,Леонтій,Васильович,чоловіча,1939-06-11,Водій,хутір Копичинці,"набережна Ананьївська, буд. 775 кв. 2, Алушта, 75322",996-68-24,dpylypenko@example.net
Венгринович,Мирослав,Іванович,чоловіча,1995-08-30,Євнух,село Шаргород,"вулиця 2-й Академічний тупик, буд. 445, Березівка, 34637",076 197 40 50,larysarak@example.org
Затула,Пріска,Андріївна,жіноча,1961-04-08,Швачка,місто Калинівка ,"провулок Рельєфна, буд. 1, Славутич, 13759",040 144 28 94,skyrdasnizhana@example.org
Дуплій,Олекса,Андрійович,чоловіча,1946-07-14,Гицель,місто Володимир-Волинський,"парк Юрженка Олександра, буд. 220 кв. 4, Бориспіль, 29924",469-29-01,akulenkomykhailo@example.net
Примаченко,Аарон,Михайлович,чоловіча,1946-08-21,Географ,селище Мукачево,"площа Головна, буд. 492, Дружба , 93394",+380 88 694-83-92,aaronaronets@example.net
Гаврилишин,Валерій,Васильович,чоловіча,1941-06-23,Фотограф,місто Каховка,"вулиця Фонтанська дорога, буд. 45, Олександрівськ, 06100",+380 (39) 685-41-80,babarychenkoanzhela@example.net
Закусило,Володимира,Миколаївна,жіноча,1999-05-23,Зоолог,хутір Ланівці,"парк Колективний, буд. 4 кв. 6, Андрушівка, 51462",+380 82 103-70-79,rvlasenko@example.com
Гавриленко,Валентин,Дмитрович,чоловіча,2005-10-01,Дерун,хутір Гадяч,"парк Шкільний аеродром, буд. 574, Вилкове, 47361",026 331-04-41,ievazakharenko@example.org
Запорожець,Вікторія,Романівна,жіноча,1986-03-04,Патологоанатом,хутір Борислав,"шосе Аеропортівський 2-й, буд. 3, Лебедин, 82674",098 480 82 01,zdakhno@example.org
Олійник,Владислав,Петрович,чоловіча,2007-03-04,Візажист,місто Ужгород,"сквер Технічний, буд. 5 кв. 883, Городенка, 47204",025 871-07-04,oleksandrdatsenko@example.net
Гречко,Златослава,Павлівна,жіноча,2000-04-27,Режисер,село Тернівка ,"вулиця Наявний 7-й, буд. 2, Гола Пристань, 73822",630 25 96,teslenkokhoma@example.org
Батуринець,Феофан,Ігоревич,чоловіча,1993-02-20,Актор,місто Лубни,"парк Кільовий, буд. 9 кв. 25, Герца, 38227",+380 (22) 868-44-11,boleslavkhrystych@example.net
Гавриш,Лариса,Артемівна,жіноча,1998-06-10,Стоматолог,хутір Мукачево,"шосе Данила Крижанівського, буд. 33, Горішні Плавні, 48271",842 28 11,bakumenkotrokhym@example.com
Іваничук,Анастасія,Вікторівна,жіноча,1981-04-27,Науковець,місто Новояворівськ,"проспект Баштанна, буд. 87 кв. 114, Мукачево, 71764",+380 85 047-13-25,marianaakymenko@example.net
Гайденко,Соломон,Романович,чоловіча,1986-09-03,Бібліотекар,хутір Деражня,"проспект Лиманчик 2-й Лінія 1-ша, буд. 6, Очаків, 99546",011 092-37-22,ruslan42@example.org
Івасюк,Семен,Юрійович,чоловіча,1944-01-31,Графік,селище Погребище,"набережна Штурвальна, буд. 23 кв. 9, Прилуки, 36447",258-29-65,myronlazarenko@example.org
Ільченко,Олекса,Дмитрович,чоловіча,2006-03-20,Електрик,селище Зборів,"парк Яхненка Семена, буд. 7, Попасна, 45389",+380 75 084-53-45,liliiazaichenko@example.net
Твердохліб,Спас,Сергійович,чоловіча,1986-09-13,Реставратор,хутір Маріуполь,"шосе Марата 2-й, буд. 82, Христинівка, 57754",967 02 11,zonufriienko@example.com
Яременко,Павло,Петрович,чоловіча,1943-05-14,Пекар,хутір Ірпінь,"шосе Шота Руставелі, буд. 6 кв. 397, Вільнянськ, 57490",+380 85 448 67 80,cvivcharenko@example.com
Шиян,Данна,Сергіївна,жіноча,1966-02-03,Доцент,село Миколаївка ,"сквер Наявний 6-й, буд. 972 кв. 8, Вараш, 75091",+380 (62) 686-90-25,syrotenkofrants@example.org
Карпенко,Ірена,Геннадіївна,жіноча,1971-01-27,Фермер,село Яремче,"вулиця Онілової, буд. 63 кв. 4, П'ятихатки, 11532",+380 (16) 488-12-98,vermenychiefrem@example.org
Чередник,Семен,Леонідович,чоловіча,1996-07-17,Кур'єр,хутір Луцьк,"парк Бокаріуса Миколи, буд. 9 кв. 750, Мирноград, 28073",799-98-02,ieromenkoklyment@example.org
Кальченко,Стефан,Сергійович,чоловіча,2007-04-27,Кінорежисер,селище Попасна,"вулиця Пастера, буд. 946, Гола Пристань, 25391",393 95 13,ciatsenko@example.com
Гавришкевич,Тимофій,Ігоревич,чоловіча,1968-05-30,Круп'є,хутір Жовті Води,"сквер 9-та Лінія Дачі Ковалевського, буд. 2 кв. 919, Куп'янськ, 35380",498-10-31,daryna35@example.org
Баштан,Аніта,Іванівна,жіноча,1958-04-24,Ґрунтознавець,селище Шостка,"набережна Літній, буд. 31, Коростишів, 66377",+380 18 379-16-72,hupalovladyslav@example.org
Філіпенко,Ірина,Олегівна,жіноча,1990-04-08,Дантист,село Вижниця,"провулок Лютнева, буд. 793 кв. 85, Вільногірськ, 72379",+380 40 563-56-38,okhrymovychamaliia@example.net
Верховинець,Хома,Олександрович,чоловіча,2005-03-24,Актор,хутір Кремінна,"проспект Остапа Вишні, буд. 2, Біляївка, 13539",771-50-83,valerii57@example.net
Івасюк,Адам,Михайлович,чоловіча,1948-03-09,Піаніст,місто Нова Каховка,"сквер Олександра Невського, буд. 9 кв. 87, Городня, 22412",878-41-99,amaliia81@example.com
Ващенко-Захарченко,Гліб,Ігоревич,чоловіча,1986-08-23,Фотограф,селище Чортків,"вулиця Кощового отамана, буд. 471 кв. 5, Мукачево, 26353",+380 59 577 00 61,rfomenko@example.org
Ґоляш,Віталій,Васильович,чоловіча,1984-06-20,Прокурор,селище Вижниця,"провулок Деревообробний 2-й, буд. 8 кв. 8, Жидачів, 75367",095 928-23-71,valentyna29@example.org
Дубина,Юстим,Миколайович,чоловіча,2006-03-31,Єгер,місто Бердянськ,"площа Щіпний, буд. 8, Путивль, 66715",+380 (18) 595-94-79,dshmorhun@example.org
Юхименко,Орися,Вікторівна,жіноча,1965-07-11,Ріелтор,місто Бровари,"проспект Спортивний, буд. 49, Бахмач, 90922",+380 54 499 64 02,ttovstukha@example.com
Базилевський,Оксана,Вікторівна,жіноча,1960-03-08,Євнух,селище Комарно,"узвіз Керченський 3-й, буд. 87 кв. 09, Овруч, 27960",+380 64 859 58 17,tymofii69@example.org
Верхола,Лариса,Павлівна,жіноча,1957-08-29,Промисловець,селище Новодружеськ,"сквер Василя Кандинського 5-й, буд. 83, Подільськ, 93041",371-50-47,amvrosiiiushchenko@example.org
Ґерус,Орися,Михайлівна,жіноча,1979-05-06,Маркетолог,селище Українськ,"сквер Куликове поле, буд. 55 кв. 382, Знам'янка, 73963",+380 49 019-76-47,emiliiaskopenko@example.org
Худобʼяк,Розалія,Федорівна,жіноча,1944-05-23,Вчитель,місто Помічна,"узвіз Малиновський, буд. 07 кв. 0, Суходільськ, 31516",026 741 59 46,terezafesenko@example.net
Сірко,Соломон,Дмитрович,чоловіча,1942-06-20,Фольклорист,хутір Попасна,"площа Кільцева, буд. 25 кв. 1, Хирів, 69927",+380 66 649 01 93,nnikoliuk@example.org
Данченко,Світлана,Юріївна,жіноча,1943-01-01,Клавішник,хутір Городок,"провулок Студентський 5-й, буд. 7 кв. 21, Арциз, 55758",861 76 29,albinashtepa@example.com
Архипенко,Вадим,Андрійович,чоловіча,1989-02-09,Гінеколог,місто Косів,"узвіз Литовська, буд. 0 кв. 080, Тиврів, 26488",+380 98 343 37 34,klyment44@example.com
Іваненко,Розалія,Павлівна,жіноча,1967-03-25,Фармацевт,селище Гнівань,"парк Вапняна, буд. 6 кв. 55, Звенигородка, 07613",087-52-29,ustenkodanna@example.org
Кальченко,Маруся,Максимівна,жіноча,1988-07-06,Антрополог,село Гайсин,"провулок Зоринська, буд. 4 кв. 481, Сорокине, 51453",+380 52 084-08-28,kyrylo72@example.com
Євдокименко,Костянтин,Петрович,чоловіча,2006-05-02,Ветеринар,хутір Олександрівськ,"проспект Івана Франка, буд. 209 кв. 54, Кобеляки, 69830",+380 91 744-10-77,fsaienko@example.net
Матяш,Василь,Романович,чоловіча,1940-02-11,Головний меркшейдер,село Харцизьк,"площа Довженка, буд. 188 кв. 2, Бучач, 38650",029 612-65-41,iaroslav29@example.net
Алексеєнко,Лесь,Олегович,чоловіча,1967-01-04,Каскадер,селище Самбір,"набережна Аеропортівський 3-й, буд. 60 кв. 3, Київ, 25762",077 12 24,feofan06@example.org
Павличенко,Охрім,Андрійович,чоловіча,1959-12-01,Шериф,селище Славутич,"провулок Самодіяльна, буд. 4 кв. 853, Білгород-Дністровський, 54991",+380 65 743 52 30,fartushniakielysaveta@example.net
Чалий,Адам,Ігоревич,чоловіча,1960-01-23,Різноробочий,хутір Кам'янка-Дніпровська,"узвіз Лінія 54-та, буд. 0, Батурин, 81011",+380 64 907-27-34,ielyseiakulenko@example.com
Дахно,Алла,Андріївна,жіноча,1962-05-21,Круп'є,селище Луцьк,"парк Каховський, буд. 5, Дружківка, 33609",+380 59 029-58-82,qdurdynets@example.org
Гавриш,Наталія,Дмитрівна,жіноча,1972-08-31,Музикант,селище Новомиргород,"провулок ім. С.Ю. Вітте, буд. 250 кв. 5, Дубляни, 69297",+380 (82) 107-60-93,petro17@example.com
Конопленко,Еріка,Михайлівна,жіноча,1975-04-26,Кінокритик,місто Очаків,"площа Платанова, буд. 35 кв. 29, Сокиряни, 59077",+380 02 254 17 92,velychkooleksa@example.com
Москаль,Августин,Юрійович,чоловіча,1982-04-23,Кінорежисер,селище Вилкове,"провулок Західний 2-й, буд. 005 кв. 67, Чоп, 10637",000 78 47,martaadamenko@example.net
Венгринович,Єлисей,Юрійович,чоловіча,1995-04-28,Письменник,селище Підгородне,"набережна Гаршина, буд. 5, Балта, 95838",+380 81 092-80-51,kanivetsalevtyn@example.net
Даценко,Аврелій,Артемович,чоловіча,1968-09-08,Різноробочий,місто Феодосія,"парк Дідріхсона, буд. 0, Нововолинськ, 40983",+380 94 901-78-34,fkyrylenko@example.org
Шморгун,Віра,Федорівна,жіноча,1956-02-11,Драматург,місто Берегове,"сквер Кишинівська, буд. 266 кв. 17, Зеленодольськ, 17652",768 48 79,vrak@example.org
Бабʼяк,Демид,Іванович,чоловіча,1987-09-21,Підприємець,село Ізяслав,"вулиця Лінія 53-тя, буд. 1, Лохвиця, 41170",+380 30 753-39-28,liudmylashtokalo@example.org
Матяш,Георгій,Іванович,чоловіча,1992-06-11,Електромонтажник,місто Судак ,"парк Зелений, буд. 979, Долина , 67702",+380 (69) 029-15-61,bebeshkosymon@example.net
Цушко,Єфрем,Вікторович,чоловіча,1959-01-01,Співак,хутір Новоукраїнка,"парк Нескучна, буд. 53, Кобеляки, 18184",093 131 70 51,mykhailynaoberemko@example.com
Рудик,Августин,Сергійович,чоловіча,1984-10-31,Бізнесмен,місто Жданівка,"вулиця Хвойний, буд. 61 кв. 761, Ірміно, 20921",+380 13 263 47 52,bohdanprokopovych@example.com
Верменич,Степан,Леонідович,чоловіча,2005-04-15,Ветеринар,хутір Роздільна,"площа Лінія 24-та, буд. 98 кв. 9, Вугледар, 04474",+380 53 432-94-41,mykhailobandera@example.org
Ящук,Віталій,Юрійович,чоловіча,1989-02-05,Намотувальник,селище Нікополь,"набережна Ломоносова, буд. 08, Ізяслав, 36118",730 13 86,qmakohon@example.net
Червоненко,Устим,Артемович,чоловіча,2005-02-03,Мікробіолог,село Ірміно,"узвіз 7-ма Лінія Дачі Ковалевського, буд. 235 кв. 2, Одеса, 68646",555 77 19,demian06@example.net
Юрченко,Ярослава,Іванівна,жіноча,1975-09-12,Актор,хутір Калуш,"провулок Іцхака Рабіна, буд. 87, Бар, 09447",076 182 74 70,chuprynaielysei@example.org
Короленко,Тарас,Романович,чоловіча,1971-07-27,Продюсер,місто Київ,"вулиця Мала, буд. 1 кв. 7, Гірське, 04436",837 82 77,olena39@example.org
Дейнека,Альберт,Дмитрович,чоловіча,2002-08-02,Музичний редактор,місто Горохів,"площа Йосипа Тимченка, буд. 6 кв. 87, Снятин, 59695",822-83-31,shamraioleksa@example.net
Швайка,Панас,Ігоревич,чоловіча,1979-08-15,Провізор,хутір Роздільна,"узвіз Таїрова, буд. 77 кв. 074, Житомир, 54124",567 87 69,deisunvadym@example.org
Єременко,Зорян,Олегович,чоловіча,1951-07-06,Дизайнер,село Антрацит ,"парк Василя Кандинського 2-й, буд. 4, Здолбунів, 72143",725-20-38,kostiantynshvedchenko@example.com
Опанасенко,Анастасія,Олександрівна,жіноча,1960-04-13,Шериф,хутір Генічеськ,"набережна Немировича-Данченка, буд. 8, Пирятин, 27424",+380 39 855-87-03,zasukhamarko@example.net
Архимович,Ганна,Дмитрівна,жіноча,1971-12-09,Кінокритик,село Амвросіївка,"проспект Нескучна, буд. 5, Петрово-Красносілля, 93902",+380 (72) 645-26-36,vasyl09@example.com
Дубас,Тетяна,Олександрівна,жіноча,1992-09-28,Геолог,місто Деражня,"узвіз Лінійний, буд. 62, Малин, 30278",+380 (60) 412-99-16,fshcherban@example.net
Вернидуб,Ганна,Федорівна,жіноча,1954-07-04,Астронавт,місто Коростишів,"шосе 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 502, Чистякове, 84350",183-81-11,amvrosiikozak@example.com
Шеремета,Богуслав,Романович,чоловіча,1945-10-22,Сценарист,село Південне ,"парк Верстатобудівна, буд. 81, Любомль, 25119",+380 (38) 088-18-62,viktoriia70@example.com
Засенко,Нестор,Леонідович,чоловіча,1940-02-02,Стиліст,селище Генічеськ,"сквер Луценка Івана, буд. 66, Богуслав, 02177",+380 92 759 68 61,izhakevychvolodymyra@example.net
Токар,Віолетта,Ігорівна,жіноча,2006-05-14,Епідеміолог,хутір Хуст,"набережна Тульська, буд. 083, Снігурівка, 68541",+380 (78) 112-46-66,xlupii@example.org
Абрагамовська,Оксана,Іванівна,жіноча,2007-05-02,Геофізик,місто Білгород-Дністровський,"вулиця Тульська, буд. 292, Бахмач, 29503",135 12 98,avramchuksvitlana@example.com
Дробʼязко,Віталій,Петрович,чоловіча,1969-05-27,Диригент,селище Іллінці,"шосе Овідіопольський, буд. 87, Пологи , 92692",071 617 48 12,zkalenychenko@example.org
Шелест,Тарас,Васильович,чоловіча,1945-03-10,Клавішник,селище Славута,"узвіз Східний 2-й, буд. 894 кв. 67, Кременчук, 64165",017 397 40 67,anastasiia61@example.org
Авраменко,Назар,Федорович,чоловіча,1972-02-13,Доцент,місто Амвросіївка,"сквер Маринеско узвіз, буд. 4 кв. 55, Українськ, 79382",547-19-98,wsatsiuk@example.org
Давимука,Валерій,Леонідович,чоловіча,1991-12-23,Маркетолог,село Чигирин,"набережна Каманіна, буд. 65 кв. 28, Борзна, 67777",195-23-39,izhakevychmaksym@example.net
Медведенко,Василина,Максимівна,жіноча,1955-06-24,Паблік рилейшнз,місто Рогатин,"парк Північна, буд. 160, Сніжне, 42268",+380 48 965-82-20,zpiatachenko@example.com
Ніколюк,Ірина,Петрівна,жіноча,1940-12-07,Ветеринар,селище Любомль,"вулиця Спиридонівська, буд. 7, Суми, 19950",019 627-88-15,oryna98@example.com
Кащенко,Ганна,Ігорівна,жіноча,1970-09-15,Маркетолог,місто Тлумач,"проспект Нова, буд. 80 кв. 249, Липовець, 08254",+380 (42) 701-91-44,xavdieienko@example.com
Іваненко,Августин,Артемович,чоловіча,2002-09-12,Шериф,селище Вугледар,"шосе Лиманчик 2-й Лінія 3-тя, буд. 365 кв. 2, Винники, 19675",+380 31 915 69 56,stepan80@example.net
Усик,Руслан,Юрійович,чоловіча,1973-09-30,Круп'є,село Вижниця,"сквер Прорізний, буд. 1, Рівне, 30804",+380 91 736-89-90,nazardrozd@example.com
Колісниченко,Спас,Олегович,чоловіча,1965-12-29,Штукатур,селище Глобине,"набережна Докова, буд. 32 кв. 3, Вінниця, 42829",+380 95 732-52-03,feofan08@example.org
Рябець,Володимира,Максимівна,жіноча,2006-03-04,Електрик,місто Монастириська,"парк Житкова, буд. 76, Чорнобиль, 59990",+380 (91) 622-46-41,npryimak@example.org
Колесниченко,Віталій,Миколайович,чоловіча,1993-12-26,Геофізик,місто Герца,"узвіз Рівності, буд. 37 кв. 881, Хуст, 10887",+380 92 219 04 37,mieresko@example.org
Аверченко,Симон,Леонідович,чоловіча,1979-05-04,Модель,місто Олешки,"шосе Стражеска Миколи, буд. 79 кв. 8, Білицьке, 86237",+380 04 171 31 20,boleslavieresko@example.com
Щириця,Богуслава,Геннадіївна,жіноча,1975-01-20,Мистецтвознавець,місто Мерефа,"набережна Ананьївська, буд. 190, Ялта, 07838",+380 38 227 90 68,rchalenko@example.com
Тимчук,Ігнат,Сергійович,чоловіча,1974-11-04,Дерун,хутір Олешки,"площа Морська, буд. 37, Бровари, 37251",+380 70 411-06-34,avdieienkolevko@example.net
Матяш,Марта,Михайлівна,жіноча,1983-01-16,Футболіст,селище Мукачево,"провулок Єнісейська, буд. 78, Заводське, 02184",+380 75 886-95-01,okhrim25@example.org
Забашта,Сніжана,Федорівна,жіноча,1947-04-17,Археолог,селище Сокаль,"узвіз Архітектурна, буд. 933 кв. 849, Івано-Франківськ, 46297",568 11 99,hermanvovk@example.com
Туркало,Роксолана,Андріївна,жіноча,1978-08-06,Актор,хутір Батурин,"провулок Ювілейний 2-й, буд. 511, Костянтинівка, 17760",+380 81 599-01-29,zorianabramchuk@example.org
Короленко,Марко,Михайлович,чоловіча,1982-04-01,Випробувач,хутір Мала Виска,"парк Вокзальна, буд. 688, Золоте, 71291",+380 (96) 767-34-99,xprokopovych@example.org
Єресько,Марія,Петрівна,жіноча,1998-02-05,Публіцист,селище Севастополь,"площа Базарна, буд. 9 кв. 0, Вижниця, 06013",+380 07 502-73-13,khrystenkoivan@example.net
Кириленко,Леонід,Романович,чоловіча,1955-05-04,Продюсер,село Українськ,"площа Красний, буд. 3 кв. 4, Південне , 56672",+380 (88) 154-21-00,ruslan45@example.org
Рудько,Руслан,Михайлович,чоловіча,1961-06-19,Стропальник,місто Яремче,"площа 13-та Суворовська, буд. 35 кв. 8, Лебедин, 66623",+380 57 612-64-97,staran@example.org
Джус,Миколай,Іванович,чоловіча,1991-10-01,Піаніст,хутір Буськ,"шосе Академіка Панкратової, буд. 2, Решетилівка, 95937",066 932-63-00,ihnatoliinyk@example.org
Дашенко,Охрім,Вікторович,чоловіча,1996-01-31,Програміст,місто Підгородне,"проспект Старорізнична, буд. 60, Костопіль, 96034",+380 18 050-04-01,iarynachumak@example.org
Теліженко,Богдан,Петрович,чоловіча,1976-12-23,Бухгалтер,місто Привілля,"провулок Магнітогорський 3-й, буд. 6 кв. 44, Олешки, 61643",+380 56 832-82-91,mykhailyna10@example.org
Панчук,Оксана,Василівна,жіноча,1996-06-23,Конструктор,хутір Попасна,"набережна Селекційний, буд. 292, Бучач, 61719",+380 89 952-92-25,alla67@example.org
Щербань,Мирон,Артемович,чоловіча,1961-07-07,Патологоанатом,хутір Ялта,"проспект Слов'янська, буд. 60 кв. 3, Помічна, 37421",+380 76 825-03-83,pylyp06@example.org
Супруненко,Богуслав,Ігоревич,чоловіча,1953-04-07,Провізор,селище Енергодар,"площа Миколаївський 1-й, буд. 170, Нововолинськ, 47958",+380 52 982-31-42,oksanatytarenko@example.com
Дараган,Павло,Михайлович,чоловіча,1939-05-20,Пекар,село Корюківка,"парк Орловський, буд. 17 кв. 0, Бунге , 53231",170 45 86,kzasukha@example.org
Наливайко,Леопольд,Васильович,чоловіча,1962-06-12,Фрілансер,хутір Комарно,"провулок Східчастий 3-й, буд. 1 кв. 0, Федорівка, 98430",052 056-71-80,yzabila@example.org
Харченко,Віктор,Павлович,чоловіча,1958-12-10,Адвокат,село Кролевець,"сквер Верф’яний, буд. 874 кв. 72, Сміла, 24657",+380 02 729-55-01,vasylyna61@example.com
Корпанюк,Амалія,Миколаївна,жіноча,1967-07-03,Мікробіолог,місто Переяслав,"набережна Карпатська, буд. 4, Селидове, 97762",075 656 42 48,bohdannastets@example.com
Рябошапка,Амвросій,Юрійович,чоловіча,1981-05-23,Єгер,селище Кролевець,"шосе Успенський, буд. 248 кв. 9, Ківерці, 48304",412-61-21,chuprynarozaliia@example.net
Чарниш,Віктор,Петрович,чоловіча,1994-12-26,Юрист,село Рівне,"парк Бориса Дерев'янка, буд. 42 кв. 48, Голубівка, 31925",005 481 91 14,iaroslavalukash@example.org
Гаврилишин,Яків,Максимович,чоловіча,1995-11-07,Лікар,місто Вилкове,"набережна Єлісаветинська, буд. 23, Козятин, 96741",+380 (64) 840-59-01,leopold80@example.net
Акуленко,Захар,Іванович,чоловіча,1986-05-16,Археолог,місто Городня,"парк Цегельнозаводська, буд. 862 кв. 524, Ірміно, 53713",740-05-03,fedir85@example.com
Гаврюшенко,Тетяна,Олегівна,жіноча,2007-04-24,Локсмайстер,село Попасна,"площа Зелена гірка, буд. 052, Біла Церква, 84902",034 763-16-37,stanislavbabarychenko@example.net
Комар,Климент,Павлович,чоловіча,1955-01-29,Диригент,хутір Монастирище,"сквер Грецька, буд. 768, Ужгород, 07435",989 98 13,stelmakhkhrystyna@example.com
Барабаш,Омелян,Ігоревич,чоловіча,1953-07-20,Актор,хутір Старий Крим,"провулок Обсерваторний, буд. 115, Алчевськ, 99325",007 550 58 99,azarieshchenko@example.net
Нестеренко,Юстина,Олександрівна,жіноча,1960-03-19,Мовознавець,село Авдіївка,"проспект Лінія 50-та, буд. 64, Алмазна, 03872",+380 (57) 668-31-32,wbatih@example.com
Гайдай,Гаврило,Олегович,чоловіча,1964-02-01,Зоолог,місто Мукачево,"провулок Вознесенський, буд. 5, Сновськ, 78224",+380 01 716-27-15,klavdiiapetliura@example.net
Дзиндра,Людмила,Леонідівна,жіноча,1978-02-11,Няня,село Соснівка ,"вулиця Дюківський сад, буд. 00, Фастів, 22886",462-39-39,liliiavlokh@example.com
Венгринович,Едита,Андріївна,жіноча,1967-05-14,Зоолог,село Сколе,"вулиця Камишова, буд. 5 кв. 772, Остер , 68836",416 99 90,panteleimonzaichenko@example.net
Баран,Степан,Дмитрович,чоловіча,1951-10-17,Намотувальник,село Житомир,"сквер Офіцерський 1-й, буд. 43 кв. 8, Лохвиця, 62373",+380 04 028 71 23,ievtushokvolodymyr@example.org
